PARTICIPANT INDIVIDUAL NR;GROUP;PARTICIPANT (group_number/sound_order);ORDER;Sex;PL_1;PL_2;PL_3;PL_4;PL_5;PL_6;PL_7;PL_8;PL_9;PL_10;PL_11;PL_12;PL_13;PL_14;PL_15;PL_16;PL_17;PL_18;PL_19;PL_20;PL_21;PL_22;PL_23;PL_24;PL_25;PL_26;PL_27;PL_28;PL_29;PL_30;PL_31;PL_32;PL_33;PL_34;PL_35;PL_36;PL_37;PL_38;PL_39;PL_40;PL_41;PL_42;PL_43;PL_44;PL_45;PL_46;PL_47;PL_48;PL_49;PL_50;PL_51;PL_52;PL_53;PL_54
11;G3;3_3;3;M;3;2;7;6;7;9;3;4;6;5;9;7;2;2;8;5;7;6;4;4;5;4;3;8;1;2;5;5;7;6;4;4;5;3;8;6;1;3;4;5;5;4;4;5;5;6;5;6;3;3;7;4;2;5
12;G3;3_4;4;M;5;7;1;8;3;9;6;9;3;9;1;5;7;6;3;7;1;7;5;7;1;6;;5;4;6;1;7;1;6;8;6;3;5;1;3;6;6;3;7;2;7;5;7;5;5;2;3;7;5;5;7;1;6
13;G4;4_1;1;M;2;3;1;3;4;4;3;3;2;5;4;2;4;3;3;1;1;5;5;7;7;5;7;4;7;5;9;5;5;9;5;7;6;5;7;5;8;7;8;8;6;6;8;7;6;7;7;6;5;7;6;8;7;6
14;G4;4_2;2;F;2;1;1;2;5;1;5;7;9;5;3;6;7;9;9;9;9;7;3;4;3;1;4;3;6;7;4;2;4;4;7;9;7;7;7;9;2;1;3;6;3;2;5;8;7;5;6;7;9;7;8;8;8;8
15;G4;4_3;3;F;1;1;5;6;6;7;4;6;7;5;8;8;4;2;5;6;7;6;3;2;5;7;6;8;4;4;6;5;7;8;3;2;6;5;7;6;4;3;6;5;6;7;2;3;4;5;7;7;2;1;4;5;5;3
16;G4;4_4;4;M;5;6;9;3;6;6;5;5;4;7;2;5;6;6;2;6;1;6;5;5;7;3;5;5;5;7;7;6;1;5;4;6;4;5;1;8;4;5;2;7;1;7;5;5;3;6;1;6;6;6;1;6;4;5
17;G5;5_1;1;M;1;1;1;1;1;1;1;2;2;2;3;3;3;3;4;3;4;4;5;7;5;5;5;5;5;3;7;5;5;7;5;5;6;5;5;5;7;7;8;7;6;7;9;7;7;8;7;8;7;8;7;9;8;7
18;G5;5_2;2;F;5;5;5;3;3;1;5;5;7;7;5;7;7;9;9;9;9;7;1;5;1;1;3;1;5;5;5;5;5;5;7;9;7;5;7;5;5;5;3;1;3;1;5;5;5;5;5;5;9;7;7;5;7;7
19;G5;5_3;3;F;2;3;5;5;5;6;2;1;7;5;7;9;1;1;5;5;6;6;1;1;7;6;7;9;4;9;5;5;5;6;4;1;5;5;5;5;5;1;5;5;5;5;1;2;5;5;6;6;3;3;5;5;5;5
20;G5;5_4;4;M;3;6;7;6;7;5;5;4;4;6;4;4;4;4;3;2;2;2;2;2;3;4;4;3;3;4;3;3;3;1;2;3;3;3;2;3;2;2;3;2;2;2;3;2;2;3;3;2;2;2;2;3;4;3
21;G6;6_1;1;F;1;1;3;3;5;5;3;1;1;5;3;1;3;3;1;5;3;5;5;4;5;5;5;5;5;5;7;5;7;7;5;5;5;3;5;7;7;9;9;7;9;7;9;7;7;9;5;5;7;5;5;5;5;5
22;G6;6_2;2;F;2;2;1;1;3;4;4;5;5;5;5;5;6;7;8;7;8;8;3;2;3;3;1;2;5;5;5;5;5;5;8;8;8;9;6;7;2;1;1;3;2;3;5;5;5;5;5;5;8;8;6;8;6;8
23;G6;6_3;3;F;2;2;4;5;7;7;3;2;8;5;9;9;2;1;5;5;7;7;4;1;8;5;5;9;1;1;4;5;5;7;2;1;5;5;7;6;1;1;5;6;7;8;2;1;5;5;7;8;2;3;5;5;6;7
24;G6;6_4;4;M;5;7;3;9;1;7;5;7;2;7;2;5;5;7;2;7;3;5;5;6;4;7;2;5;5;6;2;7;2;5;5;7;3;8;3;5;5;7;2;7;3;5;5;6;2;5;2;5;7;7;1;8;3;5
25;G7;7_1;1;M;1;1;1;3;5;2;3;3;3;3;3;5;2;1;5;1;3;1;7;8;5;5;5;5;3;5;2;8;5;2;5;5;7;5;5;5;9;7;9;7;9;6;9;7;5;8;7;8;5;6;6;9;7;7
26;G7;7_2;2;M;1;3;1;1;2;3;4;7;8;6;7;7;9;9;9;9;8;8;1;1;2;2;1;2;6;5;3;4;6;3;8;9;8;9;8;9;1;1;1;1;1;2;5;6;6;7;6;7;9;7;8;8;8;9
27;G7;7_3;3;M;1;1;5;5;7;7;1;3;7;5;7;9;1;1;6;5;6;7;1;1;7;5;7;9;3;1;4;6;6;5;3;1;6;5;9;5;3;3;5;5;9;7;1;5;5;5;7;8;1;1;6;5;7;9
28;G7;7_4;4;M;5;6;3;9;1;5;5;9;3;7;1;5;4;5;1;7;2;6;3;8;3;8;5;4;4;7;3;5;1;5;5;7;2;5;3;4;4;9;2;7;4;2;2;8;3;8;3;4;3;7;3;5;2;5
29;G8;8_1;1;M;5;8;3;4;3;4;5;5;3;5;4;4;4;3;2;3;4;4;5;4;3;5;5;5;5;5;7;5;4;4;5;4;6;5;3;4;7;5;5;5;5;3;8;5;5;6;5;5;4;6;7;7;6;5
30;G8;8_2;2;M;3;1;1;1;4;1;4;7;8;6;7;5;9;8;9;9;5;7;1;2;1;1;2;1;8;8;6;5;5;8;6;9;7;4;7;9;1;1;1;1;5;1;4;5;8;9;9;7;9;8;5;5;8;6
31;G8;8_3;3;M;2;1;7;7;7;5;3;1;7;5;6;8;6;2;2;5;3;3;5;5;5;5;5;6;3;2;4;5;5;6;3;3;5;6;6;6;2;2;5;5;7;8;3;3;8;5;6;6;2;2;5;5;6;6
32;G8;8_4;4;M;5;9;1;7;3;5;5;7;5;7;3;5;5;6;3;8;3;5;5;8;5;7;3;5;5;7;8;8;1;5;5;7;6;7;4;5;5;7;2;8;3;5;5;7;6;6;4;5;5;6;3;7;3;5
33;G9;9_1;1;F;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;3;5;7;5;5;7;5;7;7;7;5;5;7;5;5;7;7;7;7;9;9;9;9;9;7;9;9;7;9;9;9;7;9;7;9;9;9
34;G9;9_2;2;F;5;5;3;3;3;1;5;9;1;5;3;5;7;9;9;9;3;1;3;1;1;3;3;3;5;5;7;5;3;7;9;9;9;9;7;7;3;1;3;3;1;1;5;1;7;5;5;5;9;7;7;7;5;7
35;G9;9_3;3;M;2;2;7;5;8;6;2;3;5;4;7;6;1;4;5;5;7;8;3;2;5;5;8;5;4;2;5;5;5;6;3;3;4;5;7;5;4;2;5;5;8;7;2;3;5;5;5;7;2;3;3;4;7;8
36;G9;9_4;4;F;5;7;7;3;1;8;3;4;1;6;1;9;8;7;1;6;1;8;5;5;1;3;1;9;9;5;1;6;1;9;8;6;1;4;1;3;9;3;1;2;2;9;9;5;1;4;3;4;8;5;1;5;1;4
37;G10;10_1;1;M;3;3;2;1;1;1;3;4;2;5;3;1;1;4;3;5;1;1;5;7;7;5;6;5;3;7;8;5;5;7;5;5;6;7;6;8;9;7;5;6;7;7;9;9;7;9;7;7;6;6;7;9;9;9
38;G10;10_2;2;M;1;1;1;2;2;2;5;7;6;7;5;5;6;7;6;9;6;6;4;3;2;2;3;2;7;4;8;5;5;7;6;9;8;6;6;7;3;3;3;3;3;2;8;7;7;5;7;5;8;7;6;7;6;6
39;G10;10_3;3;M;3;2;5;5;6;6;3;3;6;5;7;5;4;2;5;5;6;6;5;3;7;5;5;6;4;4;5;6;6;5;4;3;5;3;5;6;3;2;4;6;5;6;4;3;5;5;5;6;3;4;5;5;5;5
40;G10;10_4;4;F;3;8;2;4;7;8;6;6;3;7;2;6;4;6;3;5;6;5;5;7;3;7;3;4;2;5;3;7;3;6;5;6;4;5;2;6;7;6;3;6;4;3;6;5;3;6;4;5;8;7;3;6;3;7
41;G11;11_1;1;F;5;1;3;1;1;1;1;1;1;5;1;1;1;1;1;1;3;1;5;5;5;5;5;5;7;9;9;5;5;7;7;5;5;5;5;7;9;7;3;9;9;9;9;3;7;5;9;3;5;3;3;9;5;1
42;G11;11_2;2;F;3;3;3;1;3;1;5;5;5;5;5;5;5;7;9;9;9;9;5;5;5;3;3;3;9;7;5;3;7;5;6;7;5;7;7;9;5;5;1;3;1;5;5;6;5;5;5;7;7;7;7;5;5;9
43;G11;11_3;3;F;4;3;9;7;8;8;2;2;5;7;8;9;2;2;6;6;9;8;6;5;7;6;7;6;5;3;7;6;7;8;6;1;5;6;8;8;2;5;5;6;6;7;3;2;6;5;7;7;4;3;7;7;6;8
44;G11;11_4;4;F;3;3;1;3;1;6;4;7;1;4;1;5;4;6;1;5;4;5;3;2;1;6;1;1;1;1;1;5;1;2;2;3;1;3;1;1;2;4;1;6;1;3;1;2;1;3;1;1;6;2;1;5;1;5
45;G12;12_1;1;M;5;4;5;6;5;4;4;4;5;5;5;4;2;3;3;4;3;4;6;6;7;7;7;6;5;6;7;6;5;6;6;5;5;5;5;5;7;7;7;8;8;8;8;7;8;9;7;6;6;5;5;6;4;5
46;G12;12_2;2;F;7;7;5;5;5;3;5;5;5;5;5;5;5;7;5;7;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;5;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5
47;G12;12_3;3;M;1;1;5;4;4;4;2;1;3;4;5;6;4;3;5;5;6;6;5;3;6;5;6;5;7;5;5;5;5;5;6;4;5;6;5;5;6;4;5;5;5;5;4;3;5;5;5;5;3;2;4;5;5;6
48;G12;12_4;4;F;9;7;7;9;9;9;7;7;5;5;3;5;7;7;1;5;3;3;7;7;5;7;5;5;7;7;3;7;3;7;5;7;5;5;3;5;5;7;5;7;3;5;9;7;5;7;5;5;7;7;5;5;3;5
49;G13;13_1;1;M;3;2;7;5;1;7;5;5;3;9;9;9;9;9;9;9;9;9;9;7;7;9;8;7;9;9;9;9;5;7;7;5;5;5;7;9;9;9;9;8;9;7;6;5;4;6;3;5;3;3;3;7;3;6
50;G13;13_2;2;M;9;3;3;3;5;3;5;5;7;5;5;9;9;7;9;7;7;5;5;5;3;5;5;5;7;9;5;5;7;5;5;7;5;5;9;7;5;5;5;5;4;4;5;5;5;6;7;9;5;5;8;5;8;5
51;G13;13_3;3;F;4;4;6;6;7;5;3;3;6;5;6;7;7;7;7;6;6;5;6;5;3;5;5;6;1;3;5;5;5;5;5;4;5;5;6;6;1;5;5;5;4;5;5;3;5;5;6;5;4;4;5;5;5;5
52;G13;13_4;4;F;5;7;7;5;3;7;7;7;4;9;1;7;6;8;1;7;1;5;6;5;3;7;2;6;5;7;5;6;1;5;5;8;2;6;2;5;6;5;2;6;3;5;5;6;3;5;3;5;7;5;2;6;2;7
53;G14;14_1;1;F;3;1;1;2;1;2;2;1;1;3;2;1;2;1;1;2;1;3;5;5;5;4;5;5;5;5;7;5;4;6;6;5;4;6;5;5;8;7;8;8;6;6;9;8;7;9;7;6;6;5;7;9;8;8
54;G14;14_2;2;M;9;5;5;5;7;8;8;8;7;8;6;8;5;8;6;7;7;5;9;8;7;6;9;7;9;7;9;8;6;8;9;6;6;6;8;8;7;8;7;7;8;7;8;8;9;6;7;9;8;8;8;8;8;9
55;G14;14_3;3;M;1;1;5;5;7;6;1;1;5;3;7;7;1;1;5;5;7;7;1;1;4;5;5;7;1;1;3;5;8;7;1;1;6;5;7;8;1;1;4;5;7;7;1;1;5;6;9;7;1;1;5;5;6;9
56;G14;14_4;4;M;3;4;6;2;7;3;6;7;3;8;3;5;5;6;3;7;2;7;6;8;2;8;2;5;5;8;3;7;2;5;6;7;2;7;2;7;5;7;2;8;2;5;5;7;2;8;1;6;4;8;2;7;2;5
57;G15;15_1;1;M;3;1;1;2;5;1;1;1;2;3;3;2;1;2;4;2;2;1;5;6;6;6;7;5;4;4;8;7;5;7;5;5;6;6;4;6;9;9;9;9;9;9;7;8;9;8;9;9;7;9;9;9;9;8
58;G15;15_2;2;F;1;1;2;2;5;7;3;5;5;7;8;8;4;6;9;1;9;7;3;1;1;5;4;5;6;8;7;5;5;6;4;5;7;6;6;3;4;3;5;5;2;1;4;6;6;4;5;4;5;7;6;5;7;6
59;G15;15_3;3;F;5;7;5;7;5;3;5;5;5;5;5;5;3;3;5;7;7;5;7;5;5;5;5;5;3;3;5;5;5;5;5;5;5;3;5;5;7;4;4;5;5;6;5;3;5;4;5;5;5;5;5;5;5;5
60;G15;15_4;4;F;7;5;3;7;4;9;3;5;5;7;3;2;4;6;3;4;2;1;4;5;4;6;6;7;5;7;3;5;2;5;6;6;4;5;5;6;3;5;4;7;3;3;6;5;4;4;2;5;9;8;8;7;8;9
